zh-CN	简体中文
Menu/MLP_logo_file	CHI_MLP_logo.png
FONTS/DIMBO_REGULAR	
FONTS/NOTO_SANS	
FONTS/ROBOTO_MEDIUM	
VanityItems/Body/CategoryName	身体
VanityItems/Face/CategoryName	脸部
VanityItems/Head/CategoryName	头部
VanityItems/Neck/CategoryName	颈部
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_01_CS_ZP_01	欢迎来到W.I.N.G.S.——小马湾著名的“飞行学校”
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_02_CVS_SN_01	有小马似乎很高兴
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_03_CVS_ZP_02	都是我妈妈的主意
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_04_CVS_ZP_03	我其实没有那么热情
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_05_CVS_SN_02	我现在是学员了
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_06_CVS_ZP_04	看来你通过了之前的测试……你马上就可以飞了
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_07_CVS_ZP_05	去找雷鸣和速姆安排你最后的测试
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_08_CVS_ZP_06	然后看你能不能在真正的比赛中打败我
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_09_CVS_SN_03	我现在的速度已经很快了……我不会怯场的！
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_10_CVS_ZP_07	我们拭目以待吧……我会在起飞跑道上等你
BeachCove/INTRO/EV_01/BC_INTRO_EV_01_11_GP_SN_04	我一定能赢得那些翅膀的
BeachCove/MFL/ACCEPTED/BC_MFL_ACCEPTED_01_CVS_SN_01	当然
BeachCove/MFL/ACCEPTED/BC_MFL_ACCEPTED_02_CVS_ZP_02	准备开始吧
BeachCove/MFL/COMP/BC_MFL_COMP_01_CS_SN_01	真是太有趣了！
BeachCove/MFL/COMP/BC_MFL_COMP_02_CS_ZP_01	对吧？我是说 是的 很好……你赢得了你的翅膀
BeachCove/MFL/COMP/BC_MFL_COMP_03_CS_ZP_02	我以皇家的名义祝贺你！
BeachCove/MFL/COMP/BC_MFL_COMP_04_CS_SN_02	力力！
BeachCove/MFL/COMP/BC_MFL_COMP_05_CS_Brighhouse_01	
BeachCove/MFL/COMP/BC_MFL_COMP_06_CS_PP_01	哦不！
BeachCove/MFL/COMP/BC_MFL_COMP_07_CS_IZ_01	哦不！
BeachCove/MFL/COMP/BC_MFL_COMP_08_CS_HC_01	哦不！
BeachCove/MFL/COMP/BC_MFL_COMP_09_CS_Sprout_01	哦 很好
BeachCove/MFL/COMP/BC_MFL_COMP_10_CS_HC_02	等等，那是谁？
BeachCove/MFL/COMP/BC_MFL_COMP_11_CS_Paint Shop 3_01	小马落水了！
BeachCove/MFL/COMP/BC_MFL_COMP_12_CS_Sprout_02	好了我要溜了
BeachCove/MFL/COMP/BC_MFL_COMP_13_CS_SN_03	力力！你还好吗？
